course title,urls,university
MA Contemporary Performance Practices,https://uel.ac.uk/postgraduate/courses/ma-contemporary-performance-practices,School of Arts and Creative Industries
MA Counselling and Psychotherapy,https://uel.ac.uk/postgraduate/courses/ma-counselling-psychotherapy,School of Psychology
MA Creative Enterprise,https://uel.ac.uk/postgraduate/courses/ma-creative-enterprise,School of Arts and Creative Industries
MA Data Journalism,https://uel.ac.uk/postgraduate/courses/ma-data-journalism,School of Arts and Creative Industries
MA Directing for Stage and Screen,https://uel.ac.uk/postgraduate/courses/ma-directing-stage-screen,School of Arts and Creative Industries
MA Early Childhood Leadership and Practice,https://uel.ac.uk/postgraduate/courses/ma-early-childhood-leadership-practice,School of Education and Communities
MA Education,https://uel.ac.uk/postgraduate/courses/ma-education,School of Education and Communities
MA English Language Teaching (Distance Learning),https://uel.ac.uk/postgraduate/courses/ma-english-language-teaching-distance-learning,School of Education and Communities
MA English Language Teaching,https://uel.ac.uk/postgraduate/courses/ma-english-language-teaching,School of Education and Communities
MA Fashion,https://uel.ac.uk/postgraduate/courses/ma-fashion,School of Arts and Creative Industries
MA Filmmaking,https://uel.ac.uk/postgraduate/courses/ma-filmmaking,School of Arts and Creative Industries
MA Fine Art,https://uel.ac.uk/postgraduate/courses/ma-fine-art,School of Architecture Computing and Engineering
MA Global Football Journalism,https://uel.ac.uk/postgraduate/courses/ma-global-football-journalism,School of Arts and Creative Industries
MA Global Learning Futures,https://uel.ac.uk/postgraduate/courses/ma-global-learning-futures,School of Arts and Creative Industries
MA Interior Design,https://uel.ac.uk/postgraduate/courses/ma-interior-design,School of Architecture Computing and Engineering
MA International Fashion Business,https://uel.ac.uk/postgraduate/courses/ma-international-fashion-business,School of Arts and Creative Industries
MA Leadership In Education,https://uel.ac.uk/postgraduate/courses/ma-leadership-education,School of Education and Communities
MA Media and Communication Industries,https://uel.ac.uk/postgraduate/courses/ma-media-communication-industries,School of Arts and Creative Industries
MA Post Qualifying Professional Practice,https://uel.ac.uk/postgraduate/courses/ma-post-qualifying-professional-practice,School of Education and Communities
MA Professional Landscape Architecture with Conversion,https://uel.ac.uk/postgraduate/courses/ma-professional-landscape-architecture-conversion,School of Architecture Computing and Engineering
MA Professional Landscape Architecture,https://uel.ac.uk/postgraduate/courses/ma-professional-landscape-architecture,School of Architecture Computing and Engineering
MA Refugee Studies,https://uel.ac.uk/postgraduate/courses/ma-refugee-studies,School of Education and Communities
MA Social Work,https://uel.ac.uk/postgraduate/courses/ma-social-work,School of Education and Communities
MA Sound and Music for Games,https://uel.ac.uk/postgraduate/courses/ma-sound-music-games,School of Arts and Creative Industries
MA Sound and Music for Media,https://uel.ac.uk/postgraduate/courses/ma-sound-music-media,School of Arts and Creative Industries
MA Sound and Music for Theatre,https://uel.ac.uk/postgraduate/courses/ma-sound-music-theatre,School of Arts and Creative Industries
MA Sound and Music Performance,https://uel.ac.uk/postgraduate/courses/ma-sound-music-performance,School of Arts and Creative Industries
MA Sound and Music Production,https://uel.ac.uk/postgraduate/courses/ma-sound-music-production,School of Arts and Creative Industries
MA Special and Additional Learning Needs (ICEPE),https://uel.ac.uk/postgraduate/courses/ma-special-additional-learning-needs-icepe,School of Education and Communities
MA Special Educational Needs,https://uel.ac.uk/postgraduate/courses/ma-special-educational-needs,School of Education and Communities
MA Theatre Directing,https://uel.ac.uk/postgraduate/courses/ma-theatre-directing,School of Arts and Creative Industries
MA Youth And Community Work,https://uel.ac.uk/postgraduate/courses/ma-youth-community-work,School of Education and Communities
MAccFin (Hons) Accounting and Finance,https://uel.ac.uk/undergraduate/courses/maccfin-hons-accounting-finance,Royal Docks School of Business and Law
MArch Architecture (ARB/RIBA PART 2),https://uel.ac.uk/postgraduate/courses/march-architecture-arbriba-part-2,School of Architecture Computing and Engineering
MBA (Digital Marketing),https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-digital-marketing,Royal Docks School of Business and Law
MBA (FinTech),https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-fintech-management,Royal Docks School of Business and Law
MBA (Project Management),https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-project-management,Royal Docks School of Business and Law
MBA (Supply Chain Management),https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-supply-chain-management,Royal Docks School of Business and Law
MBA Business Administration - Entrepreneurship,https://uel.ac.uk/postgraduate/courses/mba-business-administration-entrepreneurship,Royal Docks School of Business and Law
MBA Fashion Entrepreneurship,https://uel.ac.uk/postgraduate/courses/mba-fashion-entrepreneurship,School of Arts and Creative Industries
MBA Master of Business Administration (Business Analytics),https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-business-analytics,Royal Docks School of Business and Law
MBA Master of Business Administration - Sustainable Energy,https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-sustainable-energy,Royal Docks School of Business and Law
MBA Master of Business Administration,https://uel.ac.uk/postgraduate/courses/mba-master-business-administration,Royal Docks School of Business and Law
MEng Civil Engineering (Integrated Masters),https://uel.ac.uk/undergraduate/courses/meng-civil-engineering-integrated-masters,School of Architecture Computing and Engineering
MEng Electrical and Electronic Engineering,https://uel.ac.uk/undergraduate/courses/meng-electrical-electronic-engineering,School of Architecture Computing and Engineering
MEng Mechanical Engineering (Integrated Masters),https://uel.ac.uk/undergraduate/courses/meng-mechanical-engineering-integrated-masters,School of Architecture Computing and Engineering
"MPhil PhD Applied Positive Psychology and Coaching
…",https://uel.ac.uk/postgraduate/courses/mphil-phd-applied-positive-psychology-coaching-psychology,School of Psychology
"MPhil PhD Architecture, Computing and Engineering",https://uel.ac.uk/postgraduate/courses/mphil-phd-architecture-computing-engineering,School of Architecture Computing and Engineering
MPhil PhD Education,https://uel.ac.uk/postgraduate/courses/mphil-phd-education,School of Education and Communities
MPhil PhD Psychology,https://uel.ac.uk/postgraduate/courses/mphil-phd-psychology,School of Psychology
MPhil PhD School of Arts and Creative Industries,https://uel.ac.uk/postgraduate/courses/mphil-phd-school-arts-creative-industries,School of Arts and Creative Industries
MPhil PhD School of Business and Law,https://uel.ac.uk/postgraduate/courses/mphil-phd-school-business-law,Royal Docks School of Business and Law
MPhil PhD School of Health Sport and Bioscience,https://uel.ac.uk/postgraduate/courses/mphil-phd-school-health-sport-bioscience,School of Health Sport and Bioscience
MPhil PhD Social Sciences,https://uel.ac.uk/postgraduate/courses/mphil-phd-social-sciences,School of Education and Communities
"MPhil PhD Sustainability, Development, and the Environment",https://uel.ac.uk/postgraduate/courses/mphil-phd-sustainability-development-environment,Graduate School
MRes Architecture (Reading the Neoliberal City),https://uel.ac.uk/postgraduate/courses/mres-architecture-reading-neoliberal-city,School of Architecture Computing and Engineering
MRes Bioscience,https://uel.ac.uk/postgraduate/courses/mres-bioscience,School of Health Sport and Bioscience
MRes Biosciences and Social Justice,https://uel.ac.uk/postgraduate/courses/mres-biosciences-social-justice,
MRes Business Management and Social Justice,https://uel.ac.uk/postgraduate/courses/mres-business-management-social-justice,Royal Docks School of Business and Law
MRes Health Science,https://uel.ac.uk/postgraduate/courses/mres-health-science,School of Health Sport and Bioscience
MRes Sport and Exercise Science,https://uel.ac.uk/postgraduate/courses/mres-sport-exercise-science,School of Health Sport and Bioscience
MSc AI and Data Science,https://uel.ac.uk/postgraduate/courses/msc-ai-data-science,School of Architecture Computing and Engineering
MSc Applied Positive Psychology (MAPP),https://uel.ac.uk/postgraduate/courses/msc-applied-positive-psychology-mapp,
MSc Applied Sport And Exercise Physiology,https://uel.ac.uk/postgraduate/courses/msc-applied-sport-exercise-physiology,School of Health Sport and Bioscience
MSc Applied Sport And Exercise Sciences (Sport Psychology),https://uel.ac.uk/postgraduate/courses/msc-applied-sport-exercise-sciences-sport-psychology,School of Health Sport and Bioscience
MSc Applied Sport and Exercise Sciences (Strength and…,https://uel.ac.uk/postgraduate/courses/msc-applied-sport-exercise-sciences-strength-conditioning,School of Health Sport and Bioscience
MSc Artificial Intelligence,https://uel.ac.uk/postgraduate/courses/msc-artificial-intelligence,School of Architecture Computing and Engineering
MSc Big Data Technologies,https://uel.ac.uk/postgraduate/courses/msc-big-data-technologies,School of Architecture Computing and Engineering
MSc Biomedical Science,https://uel.ac.uk/postgraduate/courses/msc-biomedical-science,School of Health Sport and Bioscience
MSc Blockchain and Financial Technologies,https://uel.ac.uk/postgraduate/courses/msc-blockchain-financial-technologies,School of Architecture Computing and Engineering
MSc Business Psychology,https://uel.ac.uk/postgraduate/courses/msc-business-psychology,School of Psychology
MSc Civil Engineering with Environmental Management,https://uel.ac.uk/postgraduate/courses/msc-civil-engineering-environmental-management,School of Architecture Computing and Engineering
MSc Civil Engineering with Sustainability,https://uel.ac.uk/postgraduate/courses/msc-civil-engineering-sustainability,School of Architecture Computing and Engineering
MSc Civil Engineering,https://uel.ac.uk/postgraduate/courses/msc-civil-engineering,School of Architecture Computing and Engineering
MSc Clinical Exercise Physiology,https://uel.ac.uk/postgraduate/courses/msc-clinical-exercise-physiology,School of Health Sport and Bioscience
MSc Cloud Computing,https://uel.ac.uk/postgraduate/courses/msc-cloud-computing,School of Architecture Computing and Engineering
MSc Computer Science,https://uel.ac.uk/postgraduate/courses/msc-computer-science,School of Architecture Computing and Engineering
MSc Computing,https://uel.ac.uk/postgraduate/courses/msc-computing,School of Architecture Computing and Engineering
MSc Construction Asset Management with Digital Technologies,https://uel.ac.uk/postgraduate/courses/msc-construction-asset-management-digital-technologies,School of Architecture Computing and Engineering
MSc Construction Engineering Management,https://uel.ac.uk/postgraduate/courses/msc-construction-engineering-management,School of Architecture Computing and Engineering
MSc Cyber Diplomacy,https://uel.ac.uk/postgraduate/courses/msc-cyber-diplomacy,School of Architecture Computing and Engineering
MSc Cyber Security Engineering,https://uel.ac.uk/postgraduate/courses/msc-cyber-security-engineering,Royal Docks School of Business and Law
MSc Data Science,https://uel.ac.uk/postgraduate/courses/msc-data-science,School of Architecture Computing and Engineering
MSc Digital Education,https://uel.ac.uk/postgraduate/courses/msc-digital-education,School of Architecture Computing and Engineering
MSc Electric Vehicle Engineering,https://uel.ac.uk/postgraduate/courses/msc-electric-vehicle-engineering,School of Architecture Computing and Engineering
MSc Engineering Management,https://uel.ac.uk/postgraduate/courses/msc-engineering-management,School of Architecture Computing and Engineering
MSc Events and Hospitality Leadership,https://uel.ac.uk/postgraduate/courses/msc-events-hospitality-leadership,Royal Docks School of Business and Law
MSc Finance and Risk,https://uel.ac.uk/postgraduate/courses/msc-finance-risk,Royal Docks School of Business and Law
MSc Human Resource Management,https://uel.ac.uk/postgraduate/courses/msc-human-resource-management,Royal Docks School of Business and Law
MSc Humanitarian Intervention by Distance Learning,https://uel.ac.uk/postgraduate/courses/msc-humanitarian-intervention-distance-learning,School of Psychology
MSc Information Security and Digital Forensics,https://uel.ac.uk/postgraduate/courses/msc-information-security-digital-forensics,School of Architecture Computing and Engineering
MSc Innovation and Sustainable Hospitality,https://uel.ac.uk/postgraduate/courses/msc-innovation-sustainable-hospitality,Royal Docks School of Business and Law
MSc Integrative Counselling and Coaching,https://uel.ac.uk/postgraduate/courses/msc-integrative-counselling-coaching,School of Psychology
MSc Intelligent Transport Planning and Engineering,https://uel.ac.uk/postgraduate/courses/msc-intelligent-transport-planning-engineering,School of Architecture Computing and Engineering
MSc International Business Management,https://uel.ac.uk/postgraduate/courses/msc-international-business-management,Royal Docks School of Business and Law
MSc International Relations,https://uel.ac.uk/postgraduate/courses/msc-international-relations,School of Education and Communities
MSc Internet of Things,https://uel.ac.uk/postgraduate/courses/msc-internet-things,School of Architecture Computing and Engineering
MSc Marketing,https://uel.ac.uk/postgraduate/courses/msc-marketing,Royal Docks School of Business and Law
MSc Mechanical Engineering,https://uel.ac.uk/postgraduate/courses/msc-mechanical-engineering,School of Architecture Computing and Engineering
MSc Mechatronics and Computer Systems Engineering,https://uel.ac.uk/postgraduate/courses/msc-mechatronics-computer-systems-engineering,School of Architecture Computing and Engineering
MSc NGO and Development Management,https://uel.ac.uk/postgraduate/courses/msc-ngo-development-management,School of Education and Communities
MSc Occupational and Organisational Psychology,https://uel.ac.uk/postgraduate/courses/msc-occupational-organisational-psychology,School of Psychology
MSc Oil and Gas Management,https://uel.ac.uk/postgraduate/courses/msc-oil-gas-management,Royal Docks School of Business and Law
MSc Pharmaceutical Science (with specialism),https://uel.ac.uk/postgraduate/courses/msc-pharmaceutical-science-specialism,School of Health Sport and Bioscience
MSc Physician Associate,https://uel.ac.uk/postgraduate/courses/msc-physician-associate,School of Health Sport and Bioscience
MSc Professional Accounting,https://uel.ac.uk/postgraduate/courses/msc-professional-accounting,Royal Docks School of Business and Law
MSc Project Management with Digital Technology,https://uel.ac.uk/postgraduate/courses/msc-project-management-digital-technology,School of Architecture Computing and Engineering
MSc Psychology,https://uel.ac.uk/postgraduate/courses/msc-psychology,School of Psychology
MSc Public Health,https://uel.ac.uk/postgraduate/courses/msc-public-health,School of Health Sport and Bioscience
MSc Real Estate Management,https://uel.ac.uk/postgraduate/courses/msc-real-estate-management,School of Architecture Computing and Engineering
MSc Robotic Construction,https://uel.ac.uk/postgraduate/courses/msc-robotic-construction,School of Architecture Computing and Engineering
MSc Sport Analytics,https://uel.ac.uk/postgraduate/courses/msc-sport-analytics,School of Health Sport and Bioscience
MSc Sports Management,https://uel.ac.uk/postgraduate/courses/msc-sports-management,Royal Docks School of Business and Law
MSc Structural Engineering,https://uel.ac.uk/postgraduate/courses/msc-structural-engineering,School of Architecture Computing and Engineering
MSc Sustainable Energy Engineering,https://uel.ac.uk/postgraduate/courses/msc-sustainable-energy-engineering,School of Architecture Computing and Engineering
MSc Sustainable Tourism Development & Management,https://uel.ac.uk/postgraduate/courses/msc-sustainable-tourism-development-management,Royal Docks School of Business and Law
"MSc Workplace Diversity in Sport (West Ham United
…",https://uel.ac.uk/postgraduate/courses/msc-workplace-diversity-sport-west-ham-united-foundation,School of Health Sport and Bioscience
PGCE IPGCE,https://uel.ac.uk/postgraduate/courses/pgce-ipgce,School of Education and Communities
PGCE Non-Qualified Teacher Status (QTS),https://uel.ac.uk/postgraduate/courses/pgce-non-qualified-teacher-status-qts,School of Education and Communities
PGCE Post-compulsory Education And Training (PCET),https://uel.ac.uk/postgraduate/courses/pgce-post-compulsory-education-training-pcet,School of Education and Communities
PGCE Primary With Early Years (3-7),https://uel.ac.uk/postgraduate/courses/pgce-primary-early-years-3-7,School of Education and Communities
PGCE Primary With English And Drama,https://uel.ac.uk/postgraduate/courses/pgce-primary-english-drama,School of Education and Communities
PGCE Primary with English as an Additional Language,https://uel.ac.uk/postgraduate/courses/pgce-primary-english-additional-language,School of Education and Communities
PGCE Primary with Humanities and Religious Education,https://uel.ac.uk/postgraduate/courses/pgce-primary-humanities-religious-education,School of Education and Communities
PGCE Primary with ICT and Computing,https://uel.ac.uk/postgraduate/courses/pgce-primary-ict-computing,School of Education and Communities
PGCE Primary With Maths,https://uel.ac.uk/postgraduate/courses/pgce-primary-maths,School of Education and Communities
PGCE Primary With SEN (Inclusion),https://uel.ac.uk/postgraduate/courses/pgce-primary-sen-inclusion,School of Education and Communities
PGCE Primary with SEN (Special Schools),https://uel.ac.uk/postgraduate/courses/pgce-primary-sen-special-schools,School of Education and Communities
PGCE Primary With Sport And Wellbeing,https://uel.ac.uk/postgraduate/courses/pgce-primary-sport-wellbeing,School of Education and Communities
PGCE Primary With STEM,https://uel.ac.uk/postgraduate/courses/pgce-primary-stem,School of Education and Communities
PGCE Primary With The Arts,https://uel.ac.uk/postgraduate/courses/pgce-primary-arts,School of Education and Communities
PGCE Secondary Biology,https://uel.ac.uk/postgraduate/courses/pgce-secondary-biology,School of Education and Communities
PGCE Secondary Chemistry,https://uel.ac.uk/postgraduate/courses/pgce-secondary-chemistry,School of Education and Communities
PGCE Secondary Community Languages,https://uel.ac.uk/postgraduate/courses/pgce-secondary-community-languages,School of Education and Communities
PGCE Secondary Computing,https://uel.ac.uk/postgraduate/courses/pgce-secondary-computing,School of Education and Communities
PGCE Secondary Design And Technology,https://uel.ac.uk/postgraduate/courses/pgce-secondary-design-technology,School of Education and Communities
PGCE Secondary Drama,https://uel.ac.uk/postgraduate/courses/pgce-secondary-drama,School of Education and Communities
PGCE Secondary English,https://uel.ac.uk/postgraduate/courses/pgce-secondary-english,School of Education and Communities
PGCE Secondary Geography,https://uel.ac.uk/postgraduate/courses/pgce-secondary-geography,School of Education and Communities
PGCE Secondary Mathematics,https://uel.ac.uk/postgraduate/courses/pgce-secondary-mathematics,School of Education and Communities
PGCE Secondary Modern Languages,https://uel.ac.uk/postgraduate/courses/pgce-secondary-modern-languages,School of Education and Communities
PGCE Secondary Music,https://uel.ac.uk/postgraduate/courses/pgce-secondary-music,School of Education and Communities
PGCE Secondary Physical Education,https://uel.ac.uk/postgraduate/courses/pgce-secondary-physical-education,School of Education and Communities
PGCE Secondary Physics,https://uel.ac.uk/postgraduate/courses/pgce-secondary-physics,School of Education and Communities
PGCE Secondary Religious Education,https://uel.ac.uk/postgraduate/courses/pgce-secondary-religious-education,School of Education and Communities
PGCert Autism Spectrum Conditions And Learning,https://uel.ac.uk/postgraduate/courses/pgcert-autism-spectrum-conditions-learning,School of Education and Communities
PGCert Independent and Supplementary Prescribing,https://uel.ac.uk/postgraduate/courses/pgcert-independent-supplementary-prescribing,School of Health Sport and Bioscience
PGCert National Award for Special Educational Needs…,https://uel.ac.uk/postgraduate/courses/pgcert-national-award-special-educational-needs-coordination-nasenco,School of Education and Communities
"PGCert Supervision in Counselling, Coaching and Other Helping …",https://uel.ac.uk/postgraduate/courses/pgcert-supervision-counselling-coaching-other-helping-professions,School of Psychology
PGCert Understanding And Supporting Behaviour,https://uel.ac.uk/postgraduate/courses/pgcert-understanding-supporting-behaviour,School of Education and Communities
PGDip Civil Engineering,https://uel.ac.uk/postgraduate/courses/pgdip-civil-engineering,School of Architecture Computing and Engineering
PGDip Counselling and Psychotherapy,https://uel.ac.uk/postgraduate/courses/pgdip-counselling-psychotherapy,School of Psychology
PGDip Integrative Counselling and Coaching,https://uel.ac.uk/postgraduate/courses/pgdip-integrative-counselling-coaching,School of Psychology
PGDip Landscape Architecture,https://uel.ac.uk/postgraduate/courses/pgdip-landscape-architecture,School of Architecture Computing and Engineering
PGDip Musculoskeletal Ultrasonography,https://uel.ac.uk/postgraduate/courses/pgdip-musculoskeletal-ultrasonography,School of Health Sport and Bioscience
PGDip Structural Engineering,https://uel.ac.uk/postgraduate/courses/pgdip-structural-engineering,School of Architecture Computing and Engineering
Prof Doc Clinical Psychology,https://uel.ac.uk/postgraduate/courses/prof-doc-clinical-psychology,School of Psychology
Prof Doc Counselling Psychology,https://uel.ac.uk/postgraduate/courses/prof-doc-counselling-psychology,School of Psychology
Prof Doc Cyber Diplomacy,https://uel.ac.uk/postgraduate/courses/prof-doc-cyber-diplomacy,School of Architecture Computing and Engineering
Prof Doc Data Science,https://uel.ac.uk/postgraduate/courses/prof-doc-data-science,School of Architecture Computing and Engineering
Prof Doc Educational and Child Psychology,https://uel.ac.uk/postgraduate/courses/prof-doc-educational-child-psychology,School of Psychology
Prof Doc Fine Art,https://uel.ac.uk/postgraduate/courses/prof-doc-fine-art,School of Architecture Computing and Engineering
Prof Doc Information Security,https://uel.ac.uk/postgraduate/courses/prof-doc-information-security,School of Architecture Computing and Engineering
Prof Doc Performing Arts,https://uel.ac.uk/postgraduate/courses/prof-doc-performing-arts,School of Arts and Creative Industries
Prof Doc Social Work,https://uel.ac.uk/postgraduate/courses/prof-doc-social-work,School of Education and Communities
